PE,rank,method,data,start,end
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 7)}",1566489800.0570529,1566489800.057096
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 8)}",1566489800.063731,1566489800.063777
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 9)}",1566489800.0689769,1566489800.0690272
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 10)}",1566489800.086581,1566489800.0866401
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 11)}",1566489800.091826,1566489800.091872
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 12)}",1566489800.097555,1566489800.097645
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 13)}",1566489800.10371,1566489800.103761
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 14)}",1566489800.1122172,1566489800.11227
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 15)}",1566489800.1172988,1566489800.117346
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 16)}",1566489800.123032,1566489800.1230779
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 17)}",1566489800.1275861,1566489800.127632
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 18)}",1566489800.133205,1566489800.1332521
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 19)}",1566489800.1406279,1566489800.140685
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 20)}",1566489800.147802,1566489800.147848
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 16)}",1566489800.1420412,1566489800.142088
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 17)}",1566489800.146972,1566489800.14702
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 18)}",1566489800.157036,1566489800.157084
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1272, 'id': ('PeakGroundMotion4', 4, 'output', 1)}",1566489800.1224651,1566489800.130087
PeakGroundMotion4,4,process,"{}",1566489800.084254,1566489800.1224499
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 2))]}",1566489800.130154,1566489800.13065
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 21)}",1566489800.158731,1566489800.1587782
NormPE1,1,read,"{'input': [('input', ('streamProducerReal0', 0, 'output', 2))]}",1566489800.0881221,1566489800.1203148
NormPE1,1,process,"{}",1566489800.068197,1566489800.088117
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion4', 4, 'output', 2)}",1566489800.1606889,1566489800.160801
PeakGroundMotion4,4,process,"{}",1566489800.1306722,1566489800.1606789
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 3))]}",1566489800.160832,1566489800.161725
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 19)}",1566489800.161848,1566489800.16189
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 22)}",1566489800.163425,1566489800.163472
