PE,rank,method,data,start,end
PE_filter_bandpass22,10,read,"{'input': [('input', ('PE_filter_highpass21', 9, 'output', 1))]}",1566489791.392676,1566489791.833015
PE_taper18,6,read,"{'input': [('input', ('PE_detrend17', 5, 'output', 2))]}",1566489791.5890229,1566489791.8379982
PE_filter_bandpass22,10,preprocess,"{}",1566489791.392521,1566489791.39261
PE_taper18,6,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper18', 6, 'output', 2)}",1566489791.838892,1566489791.838961
PE_taper18,6,process,"{}",1566489791.838044,1566489791.8388858
PE_detrend23,11,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend23', 11, 'output', 2)}",1566489791.84273,1566489791.842828
PE_detrend23,11,process,"{}",1566489791.8281019,1566489791.842721
PE_taper24,12,read,"{'input': [('input', ('PE_detrend23', 11, 'output', 2))]}",1566489791.598624,1566489791.8491762
PE_taper24,12,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper24', 12, 'output', 2)}",1566489791.8500412,1566489791.850116
PE_taper24,12,process,"{}",1566489791.8492239,1566489791.850035
PE_filter_bandpass22,10,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_bandpass22', 10, 'output', 1)}",1566489791.850393,1566489791.85296
PE_filter_bandpass22,10,process,"{}",1566489791.833921,1566489791.8503628
PE_pre_filter25,13,read,"{'input': [('input', ('PE_taper24', 12, 'output', 2))]}",1566489791.636066,1566489791.857594
PE_remove_response19,7,read,"{'input': [('input', ('PE_taper18', 6, 'output', 2))]}",1566489791.746471,1566489791.8557599
PE_pre_filter25,13,write,"{'output': 'output', 'size': 1015, 'id': ('PE_pre_filter25', 13, 'output', 2)}",1566489791.859434,1566489791.859534
PE_pre_filter25,13,process,"{}",1566489791.857646,1566489791.859426
PE_filter_lowpass26,14,read,"{'input': [('input', ('PE_pre_filter25', 13, 'output', 2))]}",1566489791.664,1566489791.867054
RotationPE30,1,read,"{'input': [('input', ('PE_filter_bandpass22', 10, 'output', 1))]}",1566489791.359631,1566489791.868161
RotationPE30,1,preprocess,"{}",1566489791.359273,1566489791.359592
PE_filter_lowpass26,14,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_lowpass26', 14, 'output', 2)}",1566489791.873536,1566489791.8736398
PE_filter_lowpass26,14,process,"{}",1566489791.867109,1566489791.873527
PE_filter_highpass27,15,read,"{'input': [('input', ('PE_filter_lowpass26', 14, 'output', 2))]}",1566489791.691902,1566489791.881547
RotationPE30,1,write,"{'output': 'output', 'size': 1015, 'id': ('RotationPE30', 1, 'output', 1)}",1566489791.881252,1566489791.8825989
RotationPE30,1,process,"{}",1566489791.869138,1566489791.881243
PE_filter_highpass27,15,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_highpass27', 15, 'output', 2)}",1566489791.8851242,1566489791.8852742
PE_filter_highpass27,15,process,"{}",1566489791.881593,1566489791.885109
PE_remove_response19,7,write,"{'output': 'output', 'size': 1015, 'id': ('PE_remove_response19', 7, 'output', 2)}",1566489791.887189,1566489791.887289
PE_remove_response19,7,process,"{}",1566489791.855826,1566489791.887178
PE_filter_bandpass28,16,read,"{'input': [('input', ('PE_filter_highpass27', 15, 'output', 2))]}",1566489791.719902,1566489791.892517
PE_filter_lowpass20,8,read,"{'input': [('input', ('PE_remove_response19', 7, 'output', 2))]}",1566489791.782824,1566489791.895266
StoreStream32,3,read,"{'input': [('input', ('RotationPE30', 1, 'output', 1))]}",1566489791.3659132,1566489791.897772
StoreStream32,3,preprocess,"{}",1566489791.365788,1566489791.3658729
PE_filter_bandpass28,16,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_bandpass28', 16, 'output', 2)}",1566489791.897791,1566489791.897883
PE_filter_bandpass28,16,process,"{}",1566489791.892566,1566489791.897784
PE_filter_lowpass20,8,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_lowpass20', 8, 'output', 2)}",1566489791.898477,1566489791.898564
PE_filter_lowpass20,8,process,"{}",1566489791.8953118,1566489791.89847
RotationPE31,2,read,"{'input': [('input', ('PE_filter_bandpass28', 16, 'output', 2))]}",1566489791.747193,1566489791.905762
RotationPE31,2,write,"{'output': 'output', 'size': 1015, 'id': ('RotationPE31', 2, 'output', 2)}",1566489791.9069939,1566489791.907103
RotationPE31,2,process,"{}",1566489791.905816,1566489791.9069839
PE_filter_highpass21,9,read,"{'input': [('input', ('PE_filter_lowpass20', 8, 'output', 2))]}",1566489791.813141,1566489791.905548
PE_filter_highpass21,9,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_highpass21', 9, 'output', 2)}",1566489791.910516,1566489791.910605
PE_filter_highpass21,9,process,"{}",1566489791.905671,1566489791.910507
StoreStream33,4,read,"{'input': [('input', ('RotationPE31', 2, 'output', 2))]}",1566489791.7673988,1566489791.916637
StoreStream33,4,process,"{}",1566489791.7636962,1566489791.767391
PE_filter_bandpass22,10,read,"{'input': [('input', ('PE_filter_highpass21', 9, 'output', 2))]}",1566489791.852993,1566489791.9206662
PE_filter_bandpass22,10,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_bandpass22', 10, 'output', 2)}",1566489791.925245,1566489791.9253309
PE_filter_bandpass22,10,process,"{}",1566489791.920717,1566489791.925237
RotationPE30,1,read,"{'input': [('input', ('PE_filter_bandpass22', 10, 'output', 2))]}",1566489791.882633,1566489791.9323242
RotationPE30,1,write,"{'output': 'output', 'size': 1015, 'id': ('RotationPE30', 1, 'output', 2)}",1566489791.9334762,1566489791.933562
RotationPE30,1,process,"{}",1566489791.9323678,1566489791.9334679
StoreStream32,3,read,"{'input': [('input', ('RotationPE30', 1, 'output', 2))]}",1566489791.9124858,1566489791.940067
StoreStream32,3,process,"{}",1566489791.898653,1566489791.9124749
data29,0,write,"{'output': 'output_real', 'size': 1031, 'id': ('data29', 0, 'output_real', 3)}",1566489792.026596,1566489792.0271308
data29,0,write,"{'output': 'output_synt', 'size': 1031, 'id': ('data29', 0, 'output_synt', 3)}",1566489792.0271811,1566489792.027255
PE_detrend17,5,read,"{'input': [('input', ('data29', 0, 'output_real', 3))]}",1566489791.831639,1566489792.042084
PE_detrend17,5,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend17', 5, 'output', 3)}",1566489792.0474072,1566489792.0475059
PE_detrend17,5,process,"{}",1566489792.042136,1566489792.047149
PE_taper18,6,read,"{'input': [('input', ('PE_detrend17', 5, 'output', 3))]}",1566489791.8389819,1566489792.0655
