PE,rank,method,data,start,end
WatchDirectory10,2,write,"{'output': 'output', 'size': 86, 'id': ('WatchDirectory10', 2, 'output', 23)}",1566489778.765075,1566489778.765093
WatchDirectory10,2,write,"{'output': 'output', 'size': 86, 'id': ('WatchDirectory10', 2, 'output', 24)}",1566489778.765121,1566489778.7651389
WatchDirectory10,2,write,"{'output': 'output', 'size': 86, 'id': ('WatchDirectory10', 2, 'output', 25)}",1566489778.765166,1566489778.76519
WatchDirectory10,2,write,"{'output': 'output', 'size': 86, 'id': ('WatchDirectory10', 2, 'output', 26)}",1566489778.765218,1566489778.765423
WatchDirectory10,2,write,"{'output': 'output', 'size': 86, 'id': ('WatchDirectory10', 2, 'output', 27)}",1566489778.76546,1566489778.765486
WatchDirectory10,2,write,"{'output': 'output', 'size': 85, 'id': ('WatchDirectory10', 2, 'output', 28)}",1566489778.7655199,1566489778.7655401
WatchDirectory10,2,write,"{'output': 'output', 'size': 86, 'id': ('WatchDirectory10', 2, 'output', 29)}",1566489778.765572,1566489778.765592
WatchDirectory10,2,write,"{'output': 'output', 'size': 86, 'id': ('WatchDirectory10', 2, 'output', 30)}",1566489778.765622,1566489778.765641
WatchDirectory10,2,write,"{'output': 'output', 'size': 85, 'id': ('WatchDirectory10', 2, 'output', 31)}",1566489778.765671,1566489778.76569
WatchDirectory10,2,read,"{'input': []}",1566489778.765713,1566489778.765783
WatchDirectory10,2,process,"{}",1566489778.761672,1566489778.765708
WatchDirectory10,2,terminate,"{}",1566489778.765821,1566489778.765855
WatchDirectory10,2,postprocess,"{}",1566489778.7658062,1566489778.7658172
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 16)}",1566489778.7644641,1566489778.76541
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 17)}",1566489778.765494,1566489778.7655191
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 18)}",1566489778.765572,1566489778.765592
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 19)}",1566489778.765632,1566489778.765651
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 20)}",1566489778.76568,1566489778.7657
WatchDirectory9,1,write,"{'output': 'output', 'size': 88, 'id': ('WatchDirectory9', 1, 'output', 21)}",1566489778.765729,1566489778.765749
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 22)}",1566489778.76578,1566489778.7658
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 23)}",1566489778.7658298,1566489778.765847
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 24)}",1566489778.765876,1566489778.7658958
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 25)}",1566489778.7659268,1566489778.7659478
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 26)}",1566489778.7659788,1566489778.765999
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 27)}",1566489778.7660348,1566489778.7660549
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 28)}",1566489778.7660868,1566489778.766113
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 29)}",1566489778.766146,1566489778.766168
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 30)}",1566489778.766201,1566489778.766222
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 31)}",1566489778.766259,1566489778.766459
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 32)}",1566489778.766494,1566489778.766516
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 33)}",1566489778.766549,1566489778.766571
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 34)}",1566489778.766609,1566489778.76663
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 35)}",1566489778.766678,1566489778.7667
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 36)}",1566489778.7667332,1566489778.766755
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 37)}",1566489778.766798,1566489778.7668202
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 38)}",1566489778.766853,1566489778.7668748
WatchDirectory9,1,write,"{'output': 'output', 'size': 88, 'id': ('WatchDirectory9', 1, 'output', 39)}",1566489778.766909,1566489778.766931
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 40)}",1566489778.766963,1566489778.766985
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 41)}",1566489778.767018,1566489778.767039
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 42)}",1566489778.767071,1566489778.767092
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 43)}",1566489778.767125,1566489778.7671459
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 44)}",1566489778.767179,1566489778.7672
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 45)}",1566489778.767232,1566489778.767253
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 46)}",1566489778.767286,1566489778.767313
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 47)}",1566489778.767345,1566489778.767367
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 48)}",1566489778.7673988,1566489778.7674198
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 49)}",1566489778.767452,1566489778.767474
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 50)}",1566489778.7675068,1566489778.767534
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 51)}",1566489778.767566,1566489778.7675881
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 52)}",1566489778.76762,1566489778.767642
WatchDirectory9,1,write,"{'output': 'output', 'size': 88, 'id': ('WatchDirectory9', 1, 'output', 53)}",1566489778.767675,1566489778.7676969
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 54)}",1566489778.7677288,1566489778.7677681
WatchDirectory9,1,write,"{'output': 'output', 'size': 88, 'id': ('WatchDirectory9', 1, 'output', 55)}",1566489778.767802,1566489778.767822
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 56)}",1566489778.767852,1566489778.767872
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 57)}",1566489778.7679,1566489778.767924
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 58)}",1566489778.767957,1566489778.7679749
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 59)}",1566489778.7680042,1566489778.768023
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 60)}",1566489778.7680519,1566489778.76807
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 61)}",1566489778.768098,1566489778.768123
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 62)}",1566489778.768151,1566489778.7681768
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 63)}",1566489778.768207,1566489778.768225
WatchDirectory9,1,write,"{'output': 'output', 'size': 88, 'id': ('WatchDirectory9', 1, 'output', 64)}",1566489778.7682528,1566489778.7682712
